Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Somniosidae	Protoxynotus	Protoxynotus misburgensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus cheni	Extant	134	No	NA	D	Hsu et al. (2020)	Hsu et al. (2020)	NA
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus clarki	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus longus	Extant	143	No	NA	D	Francis et al. (1988)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus rostratus	Extant	143	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus viridiadamas	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias albicauda	Extant	111	No	NA	D	Nakaya & Nakano (1995)	Taniuchi & Garrick (1986)	NA
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias cigalafulgosii	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias garricki	Extant	41	No	NA	D	Kukuev (2006)	Kukuev (2006)	NA
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias kazenobon	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias oligodon	Extant	26	No	NA	D	Kukuev & Konovalenko (1988)	Kukuev & Konovalenko (1988)	NA
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias sherwoodi	Extant	85	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Scymnodon	Scymnodon ichiharai	Extant	151	No	NA	D	White et al. (2015)	White et al. (2015)	NA
Squaliformes	Somniosidae	Scymnodon	Scymnodon macracanthus	Extant	170	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Scymnodon	Scymnodon obscurus	Extant	70	No	NA	NA	NA	NA	NA
Squaliformes	Somniosidae	Scymnodon	Scymnodon ringens	Extant	110	No	NA	D	Ruiz-Pico et al. 2014	Ruiz-Pico et al. 2014	NA
Squaliformes	Somniosidae	Somniosus	Somniosus gonzalezi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
